trait,runNum,Tmax,Precip,Ca,Ccwd,Cdoc1,Cdoc2,Cl,Cr,Cs1,Cs2,Cs3,Cs4,Cw,Cwmin,Ds1,Ds3,Ds4,GPP,LCE/NEE,LCT1,LCT2,Ls1,Ls3,NEE,NPP,Q1,Q2,Ra,Rhdoc,Rhdoc2,Rr,Rs1,Rs3,SumD,SumLdoc,SumRSoil,T,W1,W2
12,22,18,50,375086.2839,4.740783367,2.961457388,0.560202013,54.88767123,282.9676368,1.249312635,39.50795776,116.336074,1478.444642,3460.768742,3447.798039,168.7196714,59.4477338,53.96322942,633.2353822,-1.115122047,6.138749704,0.573411262,67.48786856,0.005944773,-6.019216447,298.4921734,18.82933667,5.514450653,330.9802893,57.03642907,9.436526841,0,71.40314115,5.660431189,24.34378732,6.712160966,292.4729569,25.65221268,8.535505419,4.416736842
12,23,18,75,823117.719,8.819444036,3.983331986,0.936339948,54.88767123,526.3868698,1.922706215,62.49577543,168.4742014,2073.564439,6438.187888,6421.607308,259.6614743,86.09031689,75.68510201,842.7600664,-1.058606612,13.73215904,1.654742084,103.8645897,0.008609032,-14.53505103,464.937721,31.68316176,10.11710979,370.8075833,80.72769674,16.72056172,0,112.5383293,10.4761122,41.80027155,15.38690113,450.40267,33.20172845,8.658070281,5.559462617
12,24,18,100,1377534.09,13.00139208,4.86474402,1.354232812,54.88767123,775.9280057,2.613039555,86.06263185,217.2661397,2582.572171,9491.006027,9470.715612,352.8909919,111.0229974,94.26388424,1057.559192,-1.039894494,23.53651597,3.154380426,141.1563967,0.0111023,-25.66692733,635.5703072,43.99045421,15.26282533,411.6429367,101.4245693,25.36064698,0,156.2814651,16.73564183,59.25327954,26.6908964,609.9033799,40.74572046,8.798886711,6.802851454
12,25,18,125,1912380.98,15.57564404,5.147928321,1.61323428,54.88767123,929.2972377,3.037324082,100.5514513,246.1357068,2864.285616,11370.20354,11347.44348,410.1906173,125.7753462,104.546425,1189.630214,-1.03315106,34.33671637,4.473539842,164.0762469,0.012577535,-37.56493869,740.4427706,60.62905726,20.09417961,436.7812181,109.1622589,30.5787904,0,183.8606249,21.1523985,80.72323687,38.81025621,702.8778319,44.27976313,8.843206242,7.627587557
12,26,18,150,2363926.976,18.64531632,5.737195281,1.897771898,54.88767123,1112.248558,3.543450404,117.8338093,283.4782167,3209.275605,13611.05776,13585.7958,478.5429771,144.8573687,117.1385596,1347.13566,-1.029965076,43.99204382,6.092852416,191.4171908,0.014485737,-48.62776168,865.5442631,74.72610688,26.5973631,466.7542455,121.7090215,36.6211088,0,215.0462905,27.57886171,101.32347,50.08489624,816.9165014,48.67653002,8.90137405,8.621953435
12,27,18,175,2879779.278,19.67522384,5.410452215,1.958117923,54.88767123,1173.898819,3.713990294,123.652207,291.5576272,3260.832696,14362.89254,14336.33888,501.5743892,148.9859475,119.0203934,1400.193054,-1.027004082,57.40225428,6.69166479,200.6297557,0.014898595,-62.40863128,907.6972794,95.8274216,30.15689783,476.813369,117.006145,37.54251901,0,227.1331913,29.81145616,125.9843194,64.09391907,845.2886481,49.01968057,8.935281156,9.118160798
12,28,18,200,3335195.274,21.20930792,5.327508166,2.036858708,54.88767123,1264.944319,3.96585302,132.2596501,308.3332234,3400.304689,15482.7642,15453.84476,535.5884503,157.5582772,124.1111211,1478.704157,-1.025686977,70.29366037,7.32519727,214.2353801,0.015755828,-75.67499579,969.9520657,116.1142613,33.65680823,491.7990394,116.7452042,39.26599775,0,243.2792523,33.26614211,149.7710695,77.61885764,894.2770699,50.23093049,8.954994597,9.580085242
12,29,18,225,4313279.055,23.60568161,5.11936913,1.897338194,54.88767123,1407.774668,4.360997472,145.7521731,339.3455008,3693.428245,17232.11201,17201.93143,588.9527086,173.4055509,134.8101309,1601.625775,-1.021278748,96.87225321,6.918504615,235.5810835,0.017340555,-101.6282362,1067.621425,136.899723,35.68429421,515.1934294,114.4014711,38.80799383,0,267.8619525,38.36372198,172.5840172,103.7907578,965.9931884,52.41398277,8.967383087,9.888233997
12,30,18,250,4036552.32,25.36023852,5.735542713,2.332587899,54.88767123,1512.52822,4.650775906,155.6437564,356.0494775,3790.375054,18512.93786,18480.46814,628.0872861,181.941283,138.3486895,1691.826761,-1.023812115,93.73238322,9.178929734,251.2349144,0.018194128,-100.5177722,1139.247383,154.9896007,41.71443357,532.3304525,125.8439011,45.44944769,0,286.4300392,43.33859303,196.7040342,102.911313,1038.729611,53.29396576,9.013449648,10.71379226
12,32,21,50,306300.1578,3.440201128,2.312247198,0.463119615,57.21780822,205.3785607,1.043074451,32.41041185,84.56406887,1066.118247,2511.345232,2499.471688,140.8672046,43.21223919,38.91331603,638.8051043,-1.155524136,4.926237323,0.495970434,56.34688182,0.004321224,-4.692422763,247.3297405,18.82065197,5.425080874,388.2773205,47.77504856,7.912713549,0,64.03460367,4.518695523,24.24573285,5.422207758,242.6373177,25.75826715,8.54091562,4.350966097
