"Val1","Val2","Val3","Val4","Val5"
-291.416844619912,165.69781804173,565.944934801897,911.295939327964,1213.13014958968
2640.42847962506,3096.39631598356,3495.13817401519,3838.57544048995,4140.3584162782
4697.5206539803,5166.32622043404,5567.16050582238,5911.36523325134,6209.37628116899
6343.25682895123,6797.14803714113,7218.85342019042,7563.20460082038,7862.85164887084
8001.1569329811,8455.26936114865,8849.91692370816,9221.12233610778,9521.04613968602
8956.39041374857,9408.4350047144,9805.44132152006,10150.8605479221,10480.1985567606
8969.3373736649,9421.35393775998,9818.309564224,10162.6289840198,10493.0667994644
10201.5742274283,10650.9233125684,11055.0415901654,11392.5795083814,11730.0348603298
10076.8169972687,10526.4361500379,10930.5544276349,11269.4642325167,11611.4072393366
10958.3339054189,11417.7728970846,11810.163076189,12154.7307812521,12449.6131977809
-1021.57363470418,-536.969458240506,38.3977894529767,489.772802497957,879.23506446299
2139.82676627666,2718.44824710133,3220.93728797791,3654.61079331084,4034.74760647425
4914.83064992685,5503.81535249182,6005.26051019483,6440.38161515567,6823.18739890256
7128.69875761819,7703.14855774085,8206.26577564774,8662.73581484559,9043.88531795994
8528.46547446501,9100.19513820439,9600.96878706815,10034.4284658216,10450.7139649943
10047.4193010125,10616.1775089251,11122.7215512272,11548.8894922938,11965.2890356251
11567.1635675588,12132.948773345,12639.4928156471,13070.5103477578,13452.6194676657
12056.091387255,12633.8977000934,13127.4641695224,13556.7292163932,13935.6273438647
12705.5544531649,13283.3607660032,13775.656722282,14217.7413363406,14594.3598724779
13262.5840655018,13840.3903783403,14331.5966445582,14773.6812586168,15148.3032092982
-1850.73829946408,-1246.88709630531,-566.041097466029,-263.546661555449,261.26537315508
1314.457082033,2029.81236507777,2639.49221395947,3164.78671901446,3621.48185478926
4066.63395197402,4772.79422691934,5375.47263637369,5897.45969278556,6356.35542235347
6890.50641095548,7581.13724172193,8177.48977765747,8733.78739509687,9192.63951833912
8717.16967557356,9412.91790274201,10013.0528952624,10537.4589282359,11019.3526852696
10872.6802217482,11556.5360460405,12163.1863424646,12683.586878561,13130.2907733682
11618.8426500833,12301.4073239187,12908.0576203428,13426.0551364541,13881.1804571386
12666.1019565497,13346.8544655257,13953.5047619496,14468.1295740118,14934.6551461288
14286.4444735624,14979.9319271951,15571.0434578347,16100.1295004606,16546.9755205015
15559.0340485793,16252.5215022121,16841.4309592159,17370.5170018418,17832.0794396328
-3718.41608881386,-1592.67889184727,-1229.96602185262,-652.448902969986,-244.935984860272
129.569356684786,987.717461642227,1729.52439535329,2371.08376794825,2924.51267607222
2989.66595124969,3825.8116174331,4544.77169261418,5171.77967505476,5715.39529898469
4835.74015301793,5673.16943666561,6389.76414888259,7011.1806400951,7556.96242062764
8009.45014694485,8827.95612855038,9541.49464089918,10166.8484275863,10736.5227084545
9975.76327239477,10799.7571199939,11507.9184378181,12126.2806196577,12676.9782856761
12307.4692099483,13119.0463506652,13837.1921041099,14450.5244055903,15000.4335167263
13633.8111083047,14443.4058404009,15161.5515938456,15787.5512292998,16321.0342380879
14573.435471446,15381.625799866,16099.7715533106,16725.7711887649,17256.5913620172
15418.8338403113,16225.7605993484,16943.9063527929,17569.9059882477,18098.3303564237
-3308.60075698373,-3640.04865949854,-3403.79636069473,-1522.90733981356,-1058.69883323859
-1498.96103321923,-192.757872177009,707.473854901295,1462.07961780746,2114.72214328418
1809.64454193948,2805.66652423974,3663.27874579857,4400.64230521512,5037.68872476798
4654.99123359024,5633.75906152742,6466.2609837494,7195.71218067426,7821.86760289567
6955.50268920386,7912.06760913328,8738.09523835443,9494.47739417497,10123.1839249269
7935.70703465577,8885.52793337384,9713.81383505598,10437.1123510702,11100.4038020859
10550.4167440387,11508.8046970116,12331.8291923712,13061.27973944,13689.5740607273
11661.3063086735,12619.1960828888,13439.5188779394,14168.9694250081,14792.026143295
14152.058622712,15108.8331747854,15942.4231781767,16652.5489651379,17288.870227741
16027.3540790191,16984.1286310926,17817.7186344836,18544.0702596295,19159.6028908032
-5631.53449682533,-6559.9473879778,-3902.81362414528,-4022.37633959627,-2075.78477728011
-3599.69472604495,-2197.26916952908,-599.07916805873,248.614416442811,1010.13953124525
112.181275076678,1269.47256893623,2270.82197261244,3139.70452249959,3888.04651732341
2580.19832881615,3728.15728006239,4720.91471721828,5573.52548650385,6309.17547746654
4167.03846835181,5301.89584857857,6274.29889246396,7117.99302290387,7842.29897292496
6307.80213560446,7422.56867286267,8387.12972978831,9247.42266771556,9977.48569976306
8700.26820986621,9809.76496124247,10777.5954864749,11609.7175649067,12326.5008034895
9815.17476578878,10909.1580214323,11871.2599541913,12698.8826273929,13423.4886881073
11623.4836355096,12730.5725218333,13681.0317346811,14519.5930965425,15237.5322763692
13228.748603488,14330.82549611,15276.01143149,16114.5725079347,16845.6332044924
