"Val1","Val2","Val3","Val4","Val5"
-1917.16963487186,-776.660915696175,176.057182240907,1041.06853432953,1904.81017631333
62.9071684341207,1489.99425127832,2885.43754946283,4220.49664092174,5472.18154334991
1437.48199101134,3258.22231002669,4894.28035579504,6377.81331942142,7813.5806536016
2540.90732070665,4589.49528253512,6408.1950120555,8189.05319050399,9837.06014504653
3733.7501830532,5936.40547162083,8007.65445363603,9860.71350285904,11406.2642210215
4345.74851203568,6693.16035768702,8917.45839025073,10865.792749768,12581.7778215472
4389.51507974976,6818.26935831797,8978.21451273731,10847.8058057045,12416.7291930171
5251.73992410833,7856.38492661904,10170.1369938688,12064.8434747458,13544.8432114239
5150.61201634274,7690.45326487935,10005.3226685262,12040.1314879301,13743.4171181136
5812.44435845548,8541.87617485648,10921.6532806438,12876.3692509473,14242.1877104818
-1921.2408095183,-1499.86796935017,-313.428402025017,546.799092346132,1461.44053854454
-346.662111777464,1061.90623707614,2554.90815129033,4022.6608760962,5457.80217890307
1180.07434318496,3202.35244028089,5166.17974831863,7000.02230007921,8693.54252726814
2493.58283944476,4916.08044021347,7235.09938625897,9409.4719641397,11465.4668233239
3478.01220271135,6182.77039423238,8619.78174251916,10772.7769178332,12777.4630120442
4618.89943901594,7566.2660726637,10099.2870227908,12430.3412030663,14625.8564172767
5565.36541841622,8635.79766601673,11484.3905157539,14054.2855356058,16334.225910547
6065.18045767128,9216.38859011792,11987.1245939357,14537.9541655137,16731.8561530517
6583.55514213318,9726.16023720064,12560.573019832,15218.7600160007,17389.2925703666
6992.82120867481,10209.9423881058,13114.9752632663,15772.766421994,17979.5162650276
-3282.18199770666,-2065.99488958927,-902.713584394025,-193.169521644224,641.209935649961
-1118.85296085492,437.325637967262,1960.99719660044,3464.64164183007,4944.65015956169
465.41514459385,2493.63526597023,4489.69497832657,6444.03384180544,8337.69780300525
2117.56723617859,4645.96767649973,7124.35033745203,9499.1754925019,11740.8348497355
3218.25188188397,6102.24722858423,8867.6489175264,11381.3847776101,13600.0842392937
4727.90078949536,8014.30976547194,10983.0944392076,13626.0084928645,16027.7595908394
5276.99478009352,8694.37085512137,11732.5181155881,14376.3515954155,16908.2241498434
5927.21691873474,9514.03664782582,12680.9576939868,15500.2631661138,18109.7421359044
7428.10012239627,11137.5940002807,14218.6601849289,17252.9625123841,19946.717187989
8193.46340716355,12123.3126558987,15419.5035129577,18533.4396010922,21143.4193680381
-4816.24979523996,-3741.81217991228,-2558.83171838233,-968.553817162953,-157.446310144939
-1604.45485044176,-301.254229041996,1085.58230042243,2514.12749974262,3937.09779174794
-243.374697017287,1758.31794059772,3685.36422935353,5593.29906140896,7482.59827084009
852.618110310452,3137.33500908739,5389.20945064968,7605.3711503334,9773.8443067981
2678.00917562294,5525.18909378053,8332.69548276278,11051.2781096268,13542.2926228732
3860.48231484249,7076.28326164152,10230.1562649626,13096.9391508551,15575.8562539714
5347.3319542681,9041.18698736294,12434.5066141609,15403.7562232099,17965.5718625474
6485.31493002388,10392.0108769633,13812.411424591,16773.5798954087,19481.0539484717
7226.67068069365,11276.5524829489,14698.4082775779,17801.8994502891,20601.0208511107
7973.75346986044,12081.2761819733,15508.4422364539,18717.8521500418,21680.544874826
-3624.47998850563,-3594.44903728816,-3316.31943964891,-2206.44740556246,-1409.02428014329
-3423.47214865662,-1150.55377840855,71.1256579725709,1466.8204226652,2817.2382212168
-1376.71751422591,899.205926094205,2823.20440105653,4680.82292870476,6527.00183201075
605.423116883128,3057.8627885,5415.73130976025,7735.05105019331,9992.02395170801
1959.58785882198,4781.60067112095,7543.05632799794,10227.5275278422,12752.4948592066
2548.47616577895,5519.62236799365,8440.41308910083,11317.8218792844,13983.3694569162
4047.78939267077,7511.12441555875,10912.5776959119,14072.5835928569,16892.6736593741
4791.67207910101,8474.0016989062,12000,15194.7865343827,17953.3048244578
6477.58517769078,10661.9613793873,14442.0455448919,17669.871665715,20561.8955666995
7676.10733985165,12194.6229981893,16212.6301170548,19759.3542920953,22753.2562423879
-5356.19543897718,-6019.33920443637,-3344.36987544876,-3121.62616842704,-3373.47832670844
-3012.19010396957,-1970.39204060002,-1493.84893926015,94.5284107425016,1382.65470730376
-2707.22968075685,-499.253102106574,1465.22631047218,3244.35462304807,4977.68956041763
-1013.40646809921,1489.98790971187,3739.42183537456,5900.94853086412,8037.14102683022
141.698613632745,2737.92465426919,5190.49395798563,7596.93035633639,9966.92852143383
1429.3933526431,4362.11229492071,7169.65499462743,9898.81338202314,12509.4457456538
2857.25713039046,6196.60033437276,9427.72568335866,12403.4371713251,15015.102052876
3492.47310216797,6990.02332760918,10421.0554959302,13630.3293714001,16456.6593051361
4622.53394299196,8441.71425455754,12145.8298803905,15539.3352892438,18386.998182428
5742.40579760843,9855.20512885269,13699.9624670921,17129.7857908702,20158.8839864295
