trait,runNum,Tmax,Precip,Ca,Ccwd,Cdoc1,Cdoc2,Cl,Cr,Cs1,Cs2,Cs3,Cs4,Cw,Cwmin,Ds1,Ds3,Ds4,GPP,LCE/NEE,LCT1,LCT2,Ls1,Ls3,NEE,NPP,Q1,Q2,Ra,Rhdoc,Rhdoc2,Rr,Rs1,Rs3,SumD,SumLdoc,SumRSoil,T,W1,W2
28,47,24,175,2396373.968,18.76156079,4.604959106,1.583480828,58.25342466,1121.462468,3.56802011,118.6363662,218.9819136,2302.782158,13695.95416,13670.97924,481.8611159,111.8997579,84.05154877,1460.251258,-1.032558946,47.16662675,5.561328589,192.7444463,0.011189976,-51.06532226,871.6340624,93.32107256,27.41802533,568.1622677,123.2899215,34.07654791,0,236.6182309,27.80202771,120.7390979,52.72795534,820.5687402,54.25690212,8.940854794,8.733311628
28,48,24,200,2736215.463,20.27740162,4.780606281,1.521816375,58.25342466,1212.588582,3.82004405,127.2279612,234.1755065,2454.87127,14802.52781,14777.24738,515.8969489,119.6636838,89.60280136,1544.186832,-1.030059877,58.15897017,5.388949499,206.3587796,0.011966368,-61.69342294,933.9281948,117.3701799,28.25775064,588.2258813,128.3064996,33.23411634,0,253.863187,29.99054144,145.6279306,63.54791967,872.2347718,54.37406943,8.943934162,8.856245623
28,49,24,225,3325303.578,23.69695762,5.058328326,1.738460519,58.25342466,1416.654968,4.384416299,146.4954466,265.5803037,2683.339732,17298.80078,17270.61768,592.1154211,135.7115352,97.94190021,1732.707201,-1.026437273,73.75342329,6.56333475,236.8461685,0.013571154,-78.24809186,1073.430023,133.1052996,33.68847803,633.5084058,138.4940523,39.54839397,0,291.6887739,37.65162562,166.7937776,80.31675804,995.1819315,58.20122235,9.001364212,9.614860004
28,50,24,250,3839975.425,26.26633382,5.229219267,1.873029853,58.25342466,1570.592242,4.810129798,161.018016,291.4249329,2894.044187,19174.45334,19143.54153,649.6080292,148.9181407,105.6326128,1874.820488,-1.023850512,89.56234781,7.27302527,259.8432117,0.014891814,-94.57960113,1178.657448,154.2011757,36.0601428,667.5372103,144.1000857,42.58041932,0,319.464128,43.13136126,190.2613185,96.83537308,1084.077847,59.73768154,9.017785596,9.939745589
28,52,27,50,193551.8678,1.383070798,1.5027988,0.269542376,59.03013699,82.69468468,0.723163344,21.35677995,45.30405088,559.8863326,1009.644287,998.8347996,97.66320961,23.15037,20.43585114,576.2133807,-1.295578296,3.086316598,0.256458224,39.06528384,0.002315037,-2.580141109,167.829412,18.86457885,4.495496948,406.5595592,34.24778497,4.78334281,0,49.74151649,2.983963665,23.3600758,3.342774822,165.2492709,26.6419242,8.535243226,4.15041564
28,53,27,75,446439.6797,5.32270029,2.401658882,0.491329629,59.03013699,317.8481715,1.348315108,42.86793205,81.49467312,946.6491823,3885.570173,3871.936112,182.0899553,41.64377796,34.55269515,797.3547251,-1.132212345,7.141913596,0.963542317,72.83598213,0.004164378,-7.158953837,322.9074483,30.08368576,8.943767306,467.6430011,61.31107853,9.806447294,0,91.47124518,7.279779547,39.02745307,8.105455913,315.7484944,35.97154693,8.709967618,5.44232355
28,54,27,100,823532.9332,8.633523488,2.969562303,0.740690932,59.03013699,515.1030316,1.892445818,61.45982979,111.1622243,1234.00163,6302.462902,6286.456149,255.5748077,56.80389663,45.0410595,987.4042307,-1.080139,13.83025485,1.890230069,102.2299231,0.00568039,-14.55413139,457.4377142,43.94429533,13.21446164,518.9777952,79.95990974,15.63103166,0,128.332973,11.89097751,57.15875697,15.72048492,442.8835828,42.84224303,8.794472842,6.469774322
28,55,27,125,1160695.707,10.73607178,3.223962772,0.864254784,59.03013699,640.8257466,2.239028645,73.29493329,129.9611044,1395.734441,7837.325545,7819.215683,302.3808185,66.41012433,50.9443071,1108.418406,-1.062595075,20.69166866,2.634426886,120.9523274,0.006641012,-21.95200796,543.1304756,61.1658785,17.42929344,551.5831093,90.08978643,18.42405452,0,151.7162396,15.55912644,78.59517193,23.32609555,521.1784677,46.40682807,8.824823612,7.210990867
28,56,27,150,1727265.107,13.65560415,3.555218452,0.951218794,59.03013699,814.6614976,2.719729908,89.7136261,155.3039606,1624.351756,9968.575161,9947.889887,367.2995241,79.36032385,59.28883909,1276.235028,-1.046734177,33.19251078,2.913139857,146.9198096,0.007936032,-34.49361971,661.9527578,79.37009896,19.58934229,596.8547373,102.1954364,21.91500495,0,184.8975418,20.11974904,98.95944125,36.10565064,627.4591381,51.03955875,8.876580698,7.607246279
28,57,27,175,2004285.117,16.89854986,4.098470932,1.298480586,59.03013699,1010.547307,3.261483544,108.1649918,184.5857364,1864.317195,12335.96214,12313.17047,440.4633526,94.32331132,68.0475776,1464.57215,-1.040157396,39.21215822,4.586455615,176.1853411,0.009432331,-42.10767907,795.8586213,93.47808152,26.00416004,647.1376729,119.0882769,29.27081951,0,221.4002475,26.28022537,119.4822416,43.79861383,753.7509422,55.52175844,8.949802309,8.532838201
28,58,27,200,2500438.38,18.40126373,4.019351123,1.325850344,59.03013699,1100.313574,3.509767676,116.6394984,198.0659521,1975.963202,13432.94349,13409.35695,473.9941246,101.2117015,72.12265689,1551.109992,-1.034420927,52.91448585,4.771085942,189.5976499,0.01012117,-55.76605257,857.2289295,116.6071356,27.13384806,670.4330683,119.1742821,30.0744218,0,238.1204784,29.07219328,143.7409837,57.68557179,801.4628769,56.26501633,8.945780754,8.716965488
28,59,27,225,2901809.341,20.88909822,4.213974703,1.378812302,59.03013699,1249.02052,3.92105317,130.6760296,219.0766176,2137.251229,15249.0646,15222.75255,529.5382306,111.9481516,78.00966987,1694.607456,-1.031377104,64.91523287,5.175662844,211.8152922,0.011194815,-67.95855314,958.8898416,135.9021525,30.88525998,709.0180973,128.6460457,32.51041144,0,266.6308824,33.89020063,166.7874125,70.09089571,890.9312884,58.21458754,8.978132892,9.22791288
28,60,27,250,3214473.749,23.08793768,4.36469724,1.592963105,59.03013699,1379.870085,4.282963089,143.0381906,233.9003242,2202.578816,16854.20937,16825.65609,578.4141651,119.5230657,80.3941268,1821.032249,-1.030522763,74.27677286,6.387978592,231.365666,0.011952307,-78.27556492,1048.347115,154.9418237,35.73796145,743.1205691,135.0364956,36.97160956,0,292.3668093,39.0584889,190.6797852,80.66475145,970.0715497,59.3212148,9.010158496,9.895377445
