"trait","runNum","Tmax","Precip","Ca","Ccwd","Cdoc1","Cdoc2","Cl","Cr","Cs1","Cs2","Cs3","Cs4","Cw","Cwmin","Ds1","Ds3","Ds4","GPP","LCE/NEE","LCT1","LCT2","Ls1","Ls3","NEE","NPP","Q1","Q2","Ra","Rhdoc","Rhdoc2","Rr","Rs1","Rs3","SumD","SumLdoc","SumRSoil","T","W1","W2"
60,60,27,250,2609993.49485107,17.7185874051765,3.46237341904757,1.27357248177939,59.0301369863014,1059.0395646166,3.39563822835575,112.752970041263,188.000874237413,1564.40135790544,12934.5814361635,12912.9663980728,458.580942739443,96.0684467353182,57.1006495635484,1398.44412651548,-1.03902547565797,59.937241059338,5.67401605343457,183.432377095777,0.00960684467353182,-63.1469185788962,829.019051596816,154.941823746541,48.0135071976664,546.950532792059,106.078791740053,29.0676938250636,0,231.636805670088,38.966978665017,202.955330944208,65.6112571127725,765.872133017919,47.0456690557923,9.0101584963897,11.5771927668036
90,1,12,25,130466.9183761,1.46465386112793,2.2929353055526,0.327076169378978,48.4150684931507,87.3751151102385,0.708536712600477,21.04654820656,100.777648529092,1337.96130397148,1069.1959166861,1059.09347583648,95.6878830366944,51.4973783983659,48.835587594959,319.508012819619,-1.30945831386666,2.21575299485451,0.0443638909263825,38.2751532146778,0.0051497378398366,-1.72599376539682,164.820754924762,8.49232707359661,1.66253806623806,153.833426191496,34.4860544489491,4.54968726601315,0,30.6342704821771,2.93569633851847,10.1548651398347,2.26011688578089,163.094761159365,14.8491348601653,8.25871124430971,3.22192595187726
90,2,12,50,490248.051800182,5.31192731459452,3.57661326777228,0.79145439174511,48.4150684931507,317.002685258988,1.34439437869682,42.7485080889885,175.952611806797,2250.40471090682,3877.70252190804,3863.69450832422,181.560460843006,89.9117846332732,82.1397719480989,507.124136635285,-1.07715413784026,7.91928281187973,0.927988080137821,72.6241843372024,0.00899117846332732,-8.21356069778159,321.973429360003,18.7781248740743,7.97287879091738,182.009519001927,57.9036644154421,11.999391848355,0,61.8863313504327,7.88088479812534,26.7510036649917,8.84727089201755,313.759868662222,23.2489963350083,8.5421751845244,5.04429128089494
90,3,12,75,922133.163396825,7.82921359745859,4.13127385438345,1.11064722706717,48.4150684931507,467.198815384689,1.76033110206658,56.9452413527152,223.120908483548,2768.85657767972,5715.3189251841,5698.37637733907,237.732715334092,114.014784235093,101.06326508531,629.863872223866,-1.04875693078383,14.8426446695021,2.39711674828904,95.0930861336368,0.0114014784235093,-16.4382812754394,424.772666691431,30.9481052028225,15.1540829409738,200.446006041848,68.5889776887698,17.508349774061,0,82.5863876958833,12.966483589917,46.1021881437963,17.2397614177911,408.334385415992,28.8978118562037,8.6764737708115,6.55388118452523
90,4,12,100,1354972.71761768,9.99837671002348,4.44073618693646,1.48008144453059,48.4150684931507,597.797516399087,2.12197444633973,69.2671204966068,260.29399307892,3149.84887246107,7298.82539281493,7279.5728744659,286.572648978181,133.010230463328,114.969483844829,736.430096119074,-1.03622069432049,22.3653230476445,3.9648414559423,114.629059591272,0.0133010230463328,-25.4098037685427,514.152505108228,44.5953006570746,21.7110709191464,216.332192963693,74.7428637720975,23.671036711661,0,102.082972819539,17.9850954307152,66.306371576221,26.3301645035868,488.742701339685,33.693628423779,8.78153450227047,7.79352033104141
90,5,12,125,1714063.66185217,11.7602891517666,4.6912726596778,1.70023291059864,48.4150684931507,703.054773302777,2.41345860687289,79.2136259383821,289.571126695371,3408.19008802026,8585.02186034278,8563.6724780029,325.937584858184,147.970845741335,124.398938212739,822.430372306319,-1.03326014021872,29.2916552178768,5.44958918740393,130.375033943274,0.0147970845741335,-33.6229406835793,586.193095530384,57.2390508771728,30.3351660846493,229.236512858011,79.6602359993286,27.6469957748401,0,117.419439104419,23.4641156533225,87.5742169618221,34.7412444052807,552.570154846804,37.4227830381779,8.8714889938416,9.0917625421804
90,6,12,150,2229605.77968977,13.0118183803458,4.60578622230981,1.75431612606104,48.4150684931507,778.024144005132,2.62106599087264,86.2941923219624,314.430331246606,3655.72266880441,9498.64185756212,9475.95629617767,353.97496206735,160.673899267016,133.433877411361,883.652116131228,-1.02866807097343,41.450048979297,5.73754197759733,141.58998482694,0.0160673899267016,-45.8725144567193,637.503291262661,77.0031759367556,33.0037847423877,238.402140527681,78.3194003955296,28.9381935346401,0,127.31669734293,27.0907648053825,110.006960679143,47.1875909568943,591.630776805941,40.0000393208568,8.89496290500056,9.52106640306681
90,7,12,175,2391622.82249906,12.8632908202765,4.17486686954402,1.70855627822358,48.4150684931507,769.132146623784,2.59644268769256,85.454300969329,309.039300117466,3553.87420928363,9390.21639011338,9367.73245562061,350.649584972881,157.919082360025,129.716408638853,876.38869044642,-1.03032449465332,47.4633427128509,6.0646037116403,140.259833989152,0.0157919082360025,-51.952512729984,631.417617962495,98.0221771626219,37.7573187861705,237.314246820659,71.8464084719373,27.8799619114403,0,127.060547525099,28.062878831372,135.779495948792,53.5279464244912,579.465105232511,39.2195040512076,8.90759453964263,10.1715691201899
90,8,12,200,2632105.95280812,14.1309666064535,4.27719177998813,1.8918151144072,48.4150684931507,845.068452832158,2.80672449120913,92.6261068567835,329.141098807478,3682.41418295699,10315.6234169381,10291.603679663,379.048142537793,168.191101490622,134.40811767793,938.405850046688,-1.02994938746308,53.8138702333887,7.48457906336453,151.619257015117,0.0168191101490621,-59.5159820889264,683.388868808558,111.544379089448,46.6895233676605,246.598763981588,73.4118089871928,31.0969347425234,0,138.249097414796,33.6124316101675,158.233902457109,61.2984492967533,623.872886719632,41.7700975428913,8.97854261694501,11.3958251188576
90,9,12,225,2852910.38709382,14.3075281320636,3.98761056256696,1.76855163419828,48.4150684931507,855.646969892359,2.83601506412776,93.6250647233954,330.551795885867,3715.40162659859,10444.5138819807,10420.0999983704,383.003834410454,168.911967697678,135.612159370848,947.050845065287,-1.02986308026756,63.0010986733293,6.87718224253183,153.201533764181,0.0168911967697678,-67.8520108689661,690.628119211132,138.038986174495,45.1792215619934,247.892545654581,68.9190794130028,28.9734146390959,0,140.799496118085,33.1249948253229,183.218207736488,69.8782809158611,622.776108342166,41.7827922635117,8.97016853562001,11.1876293531962
