"Val1","Val2","Val3","Val4","Val5"
0,565.778170942347,980.421903798989,1296.20851586397,1546.09575758069
0,3492.94573946756,6050.30723875098,8001.28904624703,9543.50679401697
0,5547.8450694106,9608.44083355809,12715.7942631535,15164.2520936607
0,7190.83358402649,12462.5571143479,16481.7374692379,19662.1962003726
0,8850.57245633032,15320.7654645082,20285.6653415993,24193.3256916355
0,9805.80593709769,16991.1923831904,22475.3168695154,26803.534319656
0,9818.75289701421,17013.6613541157,22505.0842258771,26839.0721536734
0,11050.9897507776,19148.9799393162,25329.8000609428,30206.3765111031
0,10926.2325206179,18932.7022218939,25043.5788120242,29865.0359324228
0,11807.7494287682,20460.3794910485,27064.6249748197,32274.4776197024
0,38.3916158408855,65.4857941432842,85.7471110534015,101.519772634956
0,3220.99499848968,5491.24703949854,7177.19406858529,8478.65945568968
0,5988.07368070206,10212.0323065081,13361.3330197809,15782.4260064437
0,8206.87415614168,13993.241192357,18295.3632931853,21625.7391619325
0,9600.50835434385,16367.6363898572,21400.2374878136,25292.4739004738
0,11119.4621808912,18955.3681844374,24810.8909531455,29321.838041683
0,12639.2064474374,21567.7360231441,28202.3349133735,33328.7784358043
0,13128.1342671335,22402.2674879109,29293.8395537539,34618.6213152419
0,13777.5973330434,23510.6735712867,30743.3729225578,36331.3393163704
0,14334.6269453804,24461.2274283275,31986.3434698776,37799.8396974785
0,-1039.01401871284,-1375.96111716879,-4128.47694382371,-7590.55370034155
0,2641.47284793766,4417.40668686112,5698.72143258553,6657.06329602033
0,5356.15424896936,8981.5527372981,11600.2107937767,13593.9923875967
0,8177.97577958407,13717.630892868,17709.6157624173,20730.3753593079
0,10015.047409615,16782.3771753713,21666.8237932969,25359.4973057595
0,12162.3812735048,20379.0843765371,26311.1316206285,30792.6539175356
0,12908.54370184,21628.7600309393,27924.6416475896,32680.0427082105
0,13955.8030083064,23382.5456980866,30188.8118207892,35328.2793793321
0,15576.1455253193,26096.7481680004,33693.8141609721,39469.8650985615
0,16848.735100336,28228.0052320727,36445.4654160017,42693.8540819653
0,-2071.7850967445,-2477.01495961186,-7634.85142881585,-10251.4193653495
0,1730.39330004551,2831.2514703348,3592.2181320301,4152.37529604626
0,4532.9825868246,7465.79329703493,9496.26649619249,10978.147174255
0,6372.55143613456,10478.7524867528,13343.529328687,15450.3206497085
0,9541.64045470515,15698.6359494416,19983.8122747926,23140.4375824797
0,11505.2733049328,18933.0282300399,24114.0198374629,27935.4116537879
0,13839.2687370667,22750.6859544589,28977.1991895522,33569.31088076
0,15165.6106354226,24930.313798689,31752.4533435083,36776.3564904754
0,16105.234998564,26474.8139307299,33720.9835586052,39063.4170264297
0,16950.6333674296,27864.2516058049,35490.8742848473,41113.2861084216
0,-4636.11438177999,-6142.72377524299,-15635.4966046608,-20822.6680602271
0,707.337008624611,1130.88941701903,1411.97620211186,1613.13569678166
0,3664.01842514212,5869.91704335872,7339.19304480665,8386.23575231566
0,6446.21244701182,10376.5957911663,13022.2086565754,14919.906839192
0,8739.97929911119,14068.331833917,17644.6490518223,20207.8802130826
0,9715.81393277554,15639.1884385053,19628.1733246379,22495.8544505638
0,12332.0527761258,19865.7932480714,24896.9841479175,28513.6894563891
0,13442.444162003,21655.3975176071,27171.5759811791,31126.7069056333
0,15932.0812538997,25670.7414128358,32226.7599619135,36941.5027064659
0,17807.3767102068,28692.7054775576,36020.5663814695,41288.9057395553
0,-8237.60076962771,-5910.36949660159,-18421.0363745671,-24431.8128457123
0,-997.826744623538,-1440.62352742461,-4106.3038098489,-5682.62913895362
0,2271.40880173142,3546.87389589369,4362.7227020091,4931.30417761657
0,4708.98361680963,7383.9762176085,9092.74285752312,10273.3563919141
0,6258.3108768782,9828.40772824922,12125.8144852045,13742.720468388
0,8390.96118346701,13183.6608839297,16268.9565543975,18399.4581617255
0,10775.073709464,16930.0686793533,20879.1858006563,23619.1491727647
0,11870.9537438016,18676.9182118891,23076.7166035482,26142.1338724434
0,13684.3954967292,21518.3057977163,26583.0074543548,30118.8749096644
0,15282.6100283867,24045.7681195196,29731.8459981131,33701.0409695742
