"runNum","Variable","Value","Tmax","Precip","trait"
3,"Ls1",93.1593344588772,12,75,"Val1"
3,"Ls3",0.0111921454375821,12,75,"Val1"
3,"Cs2",55.718328389085,12,75,"Val1"
4,"Cw",7205.34747401147,12,100,"Val1"
4,"Cr",589.265181341849,12,100,"Val1"
4,"Cl",48.4150684931507,12,100,"Val1"
4,"Ccwd",9.87034504260811,12,100,"Val1"
4,"Cs1",2.09836899296266,12,100,"Val1"
4,"Cs3",257.866169472328,12,100,"Val1"
4,"Cdoc1",4.39694652639552,12,100,"Val1"
4,"Cdoc2",1.47538442136982,12,100,"Val1"
4,"W1",8.78153450227047,12,100,"Val1"
4,"W2",7.63645853525583,12,100,"Val1"
4,"Ca",1335833.80650506,12,100,"Val1"
4,"Ra",250.376345572056,12,100,"Val1"
4,"Rr",0,12,100,"Val1"
4,"Rs1",100.752318442196,12,100,"Val1"
4,"Rs3",17.4560662045547,12,100,"Val1"
4,"LCT1",22.1206625907403,12,100,"Val1"
4,"LCT2",3.81578066009985,12,100,"Val1"
4,"SumLdoc",25.9364432508402,12,100,"Val1"
4,"Rhdoc",73.8934034498992,12,100,"Val1"
4,"Rhdoc2",23.53521810889,12,100,"Val1"
4,"SumRSoil",483.396799457132,12,100,"Val1"
4,"Q2",20.6891330860446,12,100,"Val1"
4,"Q1",44.5953006570746,12,100,"Val1"
4,"GPP",764.552962199832,12,100,"Val1"
4,"T",34.7155662568808,12,100,"Val1"
4,"SumD",65.2844337431192,12,100,"Val1"
4,"NPP",508.31881177409,12,100,"Val1"
4,"NEE",-24.9220123169576,12,100,"Val1"
4,"LCE/NEE",-1.0407042144503,12,100,"Val1"
4,"Cwmin",7186.3966667986,12,100,"Val1"
4,"Cs4",3131.47918957799,12,100,"Val1"
4,"Ds1",283.384732499607,12,100,"Val1"
4,"Ds3",131.76961260036,12,100,"Val1"
4,"Ds4",114.298990419597,12,100,"Val1"
4,"Ls1",113.353892999843,12,100,"Val1"
4,"Ls3",0.013176961260036,12,100,"Val1"
4,"Cs2",68.4779060984514,12,100,"Val1"
5,"Cw",8860.7141095759,12,125,"Val1"
5,"Cr",724.821572348735,12,125,"Val1"
5,"Cl",48.4150684931507,12,125,"Val1"
5,"Ccwd",12.1379678806599,12,125,"Val1"
5,"Cs1",2.4737570286399,12,125,"Val1"
5,"Cs3",296.959037922423,12,125,"Val1"
5,"Cdoc1",4.8089539851153,12,125,"Val1"
5,"Cdoc2",1.75611684032942,12,125,"Val1"
5,"W1",8.8714889938416,12,125,"Val1"
5,"W2",8.80981515935119,12,125,"Val1"
5,"Ca",1746342.94114286,12,125,"Val1"
5,"Ra",266.984624811459,12,125,"Val1"
5,"Rr",0,12,125,"Val1"
5,"Rs1",120.217568290988,12,125,"Val1"
5,"Rs3",23.2627424314097,12,125,"Val1"
5,"LCT1",30.0181314040947,12,125,"Val1"
5,"LCT2",5.34813112267791,12,125,"Val1"
5,"SumLdoc",35.3662625267726,12,125,"Val1"
5,"Rhdoc",81.6450929022759,12,125,"Val1"
5,"Rhdoc2",28.5671099114331,12,125,"Val1"
5,"SumRSoil",566.985841495442,12,125,"Val1"
5,"Q2",28.285304180124,12,125,"Val1"
5,"Q1",57.2390508771728,12,125,"Val1"
5,"GPP",875.298352222116,12,125,"Val1"
5,"T",39.4726449427032,12,125,"Val1"
5,"SumD",85.5243550572968,12,125,"Val1"
5,"NPP",601.096281581478,12,125,"Val1"
5,"NEE",-34.1104400860364,12,125,"Val1"
5,"LCE/NEE",-1.03681636582726,12,125,"Val1"
5,"Cwmin",8839.04119998614,12,125,"Val1"
5,"Cs4",3519.59557422635,12,125,"Val1"
5,"Ds1",334.080886717818,12,125,"Val1"
5,"Ds3",151.746068378358,12,125,"Val1"
5,"Ds4",128.465238459262,12,125,"Val1"
5,"Ls1",133.632354687127,12,125,"Val1"
5,"Ls3",0.0151746068378358,12,125,"Val1"
5,"Cs2",81.2858988923873,12,125,"Val1"
6,"Cw",9818.51689645886,12,150,"Val1"
6,"Cr",803.141812984261,12,150,"Val1"
6,"Cl",48.4150684931507,12,150,"Val1"
6,"Ccwd",13.4500275349547,12,150,"Val1"
6,"Cs1",2.69064589772746,12,150,"Val1"
6,"Cs3",322.575335900696,12,150,"Val1"
6,"Cdoc1",4.7281543499219,12,150,"Val1"
6,"Cdoc2",1.81181647900726,12,150,"Val1"
6,"W1",8.89496290500056,12,150,"Val1"
6,"W2",9.22385133446038,12,150,"Val1"
6,"Ca",2277397.82441225,12,150,"Val1"
6,"Ra",276.59422419796,12,150,"Val1"
6,"Rr",0,12,150,"Val1"
6,"Rs1",130.663956094783,12,150,"Val1"
6,"Rs3",26.823783357418,12,150,"Val1"
6,"LCT1",42.5008943409658,12,150,"Val1"
6,"LCT2",5.6579369931698,12,150,"Val1"
6,"SumLdoc",48.1588313341356,12,150,"Val1"
6,"Rhdoc",80.4354006105757,12,150,"Val1"
6,"Rhdoc2",29.9246287484958,12,150,"Val1"
6,"SumRSoil",608.049335474828,12,150,"Val1"
6,"Q2",30.8537331337048,12,150,"Val1"
6,"Q1",77.0031759367556,12,150,"Val1"
6,"GPP",939.298019373165,12,150,"Val1"
6,"T",42.1500909295396,12,150,"Val1"
6,"SumD",107.85690907046,12,150,"Val1"
6,"NPP",654.700635476659,12,150,"Val1"
6,"NEE",-46.6513000018316,12,150,"Val1"
6,"LCE/NEE",-1.03231488366337,12,150,"Val1"
6,"Cwmin",9795.2188294318,12,150,"Val1"
6,"Cs4",3780.59441964239,12,150,"Val1"
6,"Ds1",363.371728488094,12,150,"Val1"
6,"Ds3",164.835996645256,12,150,"Val1"
6,"Ds4",137.991696316947,12,150,"Val1"
6,"Ls1",145.348691395238,12,150,"Val1"
6,"Ls3",0.0164835996645256,12,150,"Val1"
6,"Cs2",88.6881049244995,12,150,"Val1"
7,"Cw",9831.36930190926,12,175,"Val1"
7,"Cr",804.19693043711,12,175,"Val1"
7,"Cl",48.4150684931507,12,175,"Val1"
7,"Ccwd",13.4676334882449,12,175,"Val1"
7,"Cs1",2.69356988451104,12,175,"Val1"
7,"Cs3",320.502207301837,12,175,"Val1"
7,"Cdoc1",4.33428643939058,12,175,"Val1"
7,"Cdoc2",1.78344918958983,12,175,"Val1"
7,"W1",8.90759453964263,12,175,"Val1"
7,"W2",9.83287710534316,12,175,"Val1"
7,"Ca",2466057.48048632,12,175,"Val1"
7,"Ra",276.722807781141,12,175,"Val1"
7,"Rr",0,12,175,"Val1"
7,"Rs1",131.736120617479,12,175,"Val1"
7,"Rs3",28.0253943709462,12,175,"Val1"
7,"LCT1",49.1174814283952,12,175,"Val1"
7,"LCT2",6.0327349545354,12,175,"Val1"
7,"SumLdoc",55.1502163829306,12,175,"Val1"
7,"Rhdoc",74.6406452271112,12,175,"Val1"
7,"Rhdoc2",29.1488676296867,12,175,"Val1"
7,"SumRSoil",602.030373802746,12,175,"Val1"
7,"Q2",35.2984337438979,12,175,"Val1"
7,"Q1",98.0221771626219,12,175,"Val1"
7,"GPP",940.156347461037,12,175,"Val1"
7,"T",41.6783890934801,12,175,"Val1"
7,"SumD",133.32061090652,12,175,"Val1"
7,"NPP",655.423251862036,12,175,"Val1"
7,"NEE",-53.3928780592902,12,175,"Val1"
