"Val2","Val3"
587.625878549853,542.794310896042
3539.34421705515,3440.95276491451
5621.97110581319,5489.91543951066
7288.16815141476,7126.26564468167
8959.76954962009,8767.91264106912
9926.1195978698,9716.95481909313
9939.23056314736,9729.82800344507
11185.9180000878,10954.1848609731
11059.726845725,10830.262300305
11951.5915278274,11706.1422558374
-6657.4177087175,-6756.3236054645
3258.95794297454,3171.2599570676
6065.59532384848,5928.85238829322
8305.40528263384,8129.53316764439
9714.86056768013,9514.35798548288
11249.9023967542,11022.5622952917
12786.5820531263,12532.3991563743
13281.0811111856,13018.2478504399
13937.9002345602,13663.5889722245
14500.9197139,14216.7736497758
-12408.7137319332,-12491.7067479002
2674.71120237461,2598.94091692074
5427.87005027156,5305.25365546006
8279.9365126179,8108.68126265531
10129.2312160616,9926.45201601559
12299.5752883625,12059.786113087
13053.6552863552,12801.0177285884
14112.1027132318,13841.4470466059
15748.2591479693,15449.6476209972
17034.4161830899,16713.8955251286
-18487.5863856617,-18570.1202733956
1762.4007232419,1692.7982034106
4593.0557610889,4487.17858028568
6449.0187179743,6312.85737643048
9654.46946154255,9465.1732186005
11640.6768214954,11418.4662907106
13986.6163092514,13725.5183939526
15325.9316492334,15042.6589938423
16275.3182161479,15976.3000077572
17129.0140398852,16815.8487672073
-27004.1388277053,-27084.1044660922
-1100.92051257355,-1265.11335819228
3704.10888784644,3612.69586076765
6526.28758143571,6392.98576739189
8837.93937784084,8667.44438990438
9824.25766172541,9637.92088923375
12468.4430350747,12239.6088646534
13590.6872009614,13343.7722742673
16106.3695827071,15819.0169671375
18001.5595496483,17683.7617812361
-43691.7114924005,-43792.0555753148
-12561.0271534957,-12785.8253050187
2307.06948246372,2231.59010869565
4768.57510640135,4662.35543849297
6331.72973444326,6204.95695809605
8479.70310109952,8320.59189845844
10887.3670359381,10690.996676592
11993.8782561266,11780.2778368636
13824.9025131123,13582.9258726652
15438.3483300892,15171.3321926971
