"Val2","Val3"
77.9940555010701,972.658138062774
3010.57102710893,3893.65746988725
5077.41490526007,5960.50134803842
6728.33541384781,7611.42185662618
8385.33750541956,9260.41603584416
9342.94211450573,10218.0438698801
9355.94155339358,10231.0416057617
10601.0701331661,11466.4853450844
10476.0194117957,11341.434623714
11359.8265305087,12225.2417424273
-8287.34437474841,-5410.4209868771
2607.38773900623,3726.65707140333
5393.14798241207,6508.27952750477
7613.02412396431,8728.15566905692
9009.84387174823,10115.6509010561
10532.0993551786,11637.7647249212
12066.6798324818,13160.9527369989
12556.8288845628,13651.1017890803
13207.8910692012,14302.1639737186
13765.9796601924,14860.2525647098
-14447.571197711,-10786.9142624973
1894.2620564438,3253.37748519433
4639.32031958721,5981.63620958434
7467.07723029224,8809.39311033279
9300.33033103839,10632.2165507675
11451.7933572127,12783.7695141187
12199.351817046,13531.3517721285
13261.4815811714,14580.661485546
14884.4347326663,16203.6146370408
16159.6089699692,17478.7888743439
-20999.972641635,-16445.6099427719
826.553129127252,2484.76740661835
3664.58457299141,5274.31469830693
5517.03324488955,7112.29783465699
8695.20561257781,10290.8997771203
10665.1731689412,12249.1695974826
12991.4165426846,14575.4748993557
14333.2737958179,15903.6029572515
15274.7317843608,16845.0609457944
16121.3094215871,17691.6385830205
-30035.2871018627,-24515.3946093254
-4546.86256968016,1597.40763509702
2616.27697658452,4524.33780043881
5451.54006321049,7310.80959979916
7746.73245456879,9604.12674077505
8725.19513723058,10582.4650920119
11347.9405958406,13193.5138199456
12461.1069035891,14306.6821123067
14970.5723976517,16802.0311474215
16850.4420598331,18681.9008096021
-49204.8900809022,-39137.0662083531
-18033.9785209349,-8811.08853529612
1051.82391878188,3292.81816787579
3513.25733689478,5716.57031739613
5090.26013047275,7256.76311713838
7228.68889539801,9384.51165015696
9619.94992637137,11772.1499991275
10725.9095092181,12858.1230163783
12540.0129577865,14674.932407374
14157.8767290353,16275.8244593717
