"Val2","Val3"
157.824907374151,873.941338708498
3126.46603221273,3757.71683431203
5220.85431594024,5793.13708436558
6900.43104514982,7423.13733806486
8578.97860765528,9058.93886101909
9549.11205884745,10004.3595580166
9562.265861053,10017.2052886095
10813.8405766965,11226.4513544101
10687.1992497226,11102.8439281159
11582.494119537,11976.2408278455
-7767.14487523001,-5872.96462905464
2859.16928740464,3479.40893566363
5694.01090441769,6204.81348676205
7961.6659370038,8383.52050735275
9384.70505133104,9746.59981005386
10935.3640368996,11241.7095589821
12498.9786220838,12738.3826823225
12997.6796596763,13220.0759033612
13660.1616269897,13848.0569171335
14228.056132449,14398.6813720252
-13463.4569564191,-11624.662989525
2321.57676107154,2868.34568471555
5129.49965352598,5522.37287914468
8030.43513166566,8272.28864513296
9919.31069274548,10055.7922857764
12123.2701682948,12167.5989441821
12901.5035763657,12901.1865000369
13971.2184012789,13912.9812677778
15605.3020709292,15495.7252880602
16920.1737720313,16739.5491990671
-19397.5704000455,-17799.8547046908
1465.16915875588,1918.4445554029
4382.13631509883,4623.3539928797
6293.32854907302,6398.7470898461
9566.67543887409,9475.83642602886
11609.9662308129,11379.919193857
14012.3352289051,13628.9580751141
15384.1030878395,14896.623460656
16356.2512097715,15805.0481416169
17230.52954139,16621.7984297581
-27622.5386607456,-26556.0086028949
-1044.22835229553,-736.638739073783
3623.33960950054,3647.24792757425
6541.21608017104,6319.80771052046
8943.50316572533,8506.81803326614
9966.66598317478,9439.51043893887
12709.3106056131,11940.2037907881
13872.8891053278,13002.0224072546
16482.2080543804,15381.2436704346
18448.1204896354,17173.4345360914
-43969.6426029672,-43582.5317135529
-12865.208149704,-12543.3179838389
2363.6678722621,2154.60323247772
4949.87172676261,4452.19290009678
6586.35651677859,5919.27411513748
8840.55390276611,7925.36860216641
11368.6050171784,10171.7730478733
12530.7783696488,11209.1998044839
14454.9001848297,12913.7145524123
16150.3716265561,14421.068651121
