"Val2","Val3"
565.550798054104,565.550798054104
3483.92685841053,3483.92685841053
5560.30065732977,5560.30065732977
7215.50731669532,7215.50731669532
8868.24362738736,8868.24362738736
9827.00885955486,9827.00885955486
9839.92319391835,9839.92319391835
11076.689278228,11076.689278228
10951.5322959528,10951.5322959528
11836.4209886029,11836.4209886029
-6706.85127351178,-6706.85127351178
3212.87173681694,3212.87173681694
6000.87586554614,6000.87586554614
8225.5539169888,8225.5539169888
9626.47400890819,9626.47400890819
11141.1561776026,11141.1561776026
12665.6797487714,12665.6797487714
13156.2922679759,13156.2922679759
13807.7360869557,13807.7360869557
14366.1226177546,14366.1226177546
-12450.2101393937,-12450.2101393937
2634.27970912557,2634.27970912557
5372.2993957133,5372.2993957133
8200.3626745632,8200.3626745632
10037.532389132,10037.532389132
12194.213440368,12194.213440368
12943.1526360243,12943.1526360243
13994.7867301955,13994.7867301955
15605.3020709292,15605.3020709292
16881.191170704,16881.191170704
-18528.8532823705,-18528.8532823705
1726.76968815847,1726.76968815847
4544.54300725459,4544.54300725459
6383.5447519299,6383.5447519299
9566.67543887409,9566.67543887409
11539.5478523761,11539.5478523761
13869.7531292969,13869.7531292969
15199.9550491314,15199.9550491314
16142.6177858167,16142.6177858167
16990.182962548,16990.182962548
-27044.1216278524,-30573.8055038032
-1183.00752301776,-237.343030689754
3656.74791996822,3656.74791996822
6467.23485263341,6467.23485263341
8757.13942637146,8757.13942637146
9736.6062092995,9736.6062092995
12362.701917297,12362.701917297
13476.8702149243,13476.8702149243
15975.128482534,15975.128482534
17857.4079216586,17857.4079216586
-38250.0153832952,-43741.8835110632
-12673.4251061961,-12673.4251061961
2268.41193496004,2268.41193496004
4717.08388265828,4717.08388265828
6273.80945132262,6273.80945132262
8403.32430893597,8403.32430893597
10794.4213743736,10794.4213743736
11893.0968009125,11893.0968009125
13711.329658604,13711.329658604
15313.325312703,15313.325312703
