"Val2","Val3"
569.602039785205,561.109053420064
3509.83107928733,3464.50531758569
5631.99738622515,5476.77555096993
7284.33320148061,7129.22414602143
8984.7484028456,8719.61557845299
9956.65567449629,9657.637265298
10003.8934158911,9654.56870153065
11273.9039531149,10843.7901398575
11118.3471320059,10759.7149584552
12062.1493951906,11584.9521640389
-6706.84958564488,-6707.93832267314
3217.85409409564,3212.87173681694
6031.19626491488,5957.36961033515
8266.53689302179,8162.19005864497
9727.73897814139,9472.45632066243
11284.0894078451,10993.7383116877
12804.684399578,12502.1858691202
13326.7231740221,12969.44353447
13982.8455562576,13591.0998276221
14566.9429833576,14118.0067291302
-12450.2101393937,-12450.2101393937
2634.27970912557,2634.27970912557
5372.2993957133,5359.54227297997
8222.22185543562,8157.34698306343
10096.6165236463,9937.48525638661
12323.2708290687,12031.5639431472
13098.6835244287,12752.408464055
14163.6089832836,13783.7672122233
15812.8371882866,15381.1942328995
17107.7117653977,16625.7384494786
-18510.9352437237,-18546.749398916
1742.30026382156,1713.23894084142
4554.38371034282,4522.59893796605
6399.49604551012,6362.28684967238
9593.46205707043,9510.89399426717
11623.0452084622,11428.0075851923
14023.1824854878,13648.0883287075
15417.7569741317,14925.6442317844
16377.7527764882,15854.9455368131
17236.6507984146,16697.1332608148
-27038.7212581628,-27049.2189117522
-1146.12630717525,-302.281781899349
3686.30069507266,3631.44423144628
6486.42417552207,6425.69591743503
8788.17412088253,8700.43426884434
9768.18789919427,9683.38343240945
12434.9138955763,12265.1542728503
13600.2261312002,13320.922511023
16212.4841708287,15699.078271251
18103.0596318189,17586.122485108
-43741.8672702557,-43745.5845633212
-12637.4331118074,-12725.2893898578
2296.32463350897,2242.38408091529
4755.73848387519,4675.81194139249
6311.77357993606,6226.4593228152
8457.2396590694,8339.62124185447
10888.3644253444,10680.5755374213
11981.8452494947,11773.812387669
13842.9574238492,13568.1738687233
15482.4685351842,15094.4575599266
