"Val2","Val3"
616.518516034172,521.601085913214
3805.80293092878,3219.09870731694
6060.60901528972,5126.08520929475
7861.63824515033,6649.33920755992
9669.30689701336,8178.19383414556
10714.0044059958,9061.72566176427
10728.1741363734,9073.72965703478
12075.9380079719,10213.5945238102
11939.5489853193,10098.191083425
12903.6651398113,10913.6541665159
-6706.85127351178,-6706.85127351178
3501.17741093745,2971.55699934676
6530.13433357149,5542.20697637737
8947.44126930035,7593.67756773292
10468.4537891326,8884.56342240099
12126.0702660617,10291.350261915
13784.7181576276,11698.9444132325
14318.4077685961,12151.9370589421
15027.3512090515,12753.6129828222
15635.0839073861,13269.344980272
-12450.2101393937,-12450.2101393937
2865.04862668162,2441.87119893542
5830.84844886452,4968.45442174397
8903.52081676848,7586.58328523955
10895.5850333363,9283.90934164886
13233.3806129715,11275.8898629151
14045.714618344,11968.0065399166
15185.9498296015,12939.4171149611
16949.6001608381,14442.3416799551
18335.2726900964,15622.9151684716
-18528.8532823705,-18528.8532823705
1871.69760449725,1605.21262409295
4920.59784215455,4216.60288051907
6916.82272867998,5925.86862797534
10362.4434504217,8877.83501426197
12497.4554206114,10706.9314663817
15019.1108471619,12867.324527256
16458.8470938656,14100.6658465523
17479.339014492,14975.0053976072
18397.0258412379,15761.1968165163
-27044.1216278524,-27044.1216278524
-1183.00752301776,-1183.00752301776
3953.30384490265,3406.59187374476
6982.88837548697,6012.14449832821
9462.13999036778,8146.66430218201
10519.8367577579,9057.2479236861
13355.2903562808,11498.4133706294
14558.625485117,12534.5699263186
17256.2901673504,14857.1114443448
19288.6052114995,16606.7665754059
-43741.8835110632,-43741.8835110632
-12673.4251061961,-12673.4251061961
2443.71449273237,2119.32151349502
5079.35852140286,4402.13990375191
6754.5395628076,5849.81886587163
9052.80073346102,7838.68160400011
11628.3143226221,10067.4282214026
12812.2164808498,11091.7799598152
14770.1770410466,12786.9770773281
16496.0557536312,14280.7122511063
