"Val2","Val3"
575.082975517196,557.054696264454
3521.85037094715,3444.22986385516
5730.21871401761,5403.98668646944
7385.07365889338,7044.65265852342
9128.46036067621,8586.4119302006
10113.454070481,9506.31073265844
10183.7772205535,9493.94575575157
11484.2724527556,10614.0585970574
11299.500637322,10577.3825025882
12302.4005415229,11361.3474278539
-6706.84958564488,-6709.77905563771
3219.48765999361,3205.62162460103
6059.60270660956,5921.26532827373
8311.19440705146,8112.96001055303
9828.50684381834,9353.09847071144
11453.7781508258,10863.1673798028
12954.46169603,12349.6405407126
13509.3565051793,12801.8532582017
14169.2085541736,13428.5474766022
14767.58363061,13936.7834881597
-12450.2101393937,-12450.2101393937
2634.27970912557,2634.27970912557
5379.14140560996,5354.09524077888
8244.5042176668,8135.57060454889
10134.8880972052,9864.72058545326
12439.9247659714,11918.7655894345
13243.9068254062,12612.7967418099
14315.2176819214,13632.3755574848
16005.0488908948,15225.6568933624
17303.8082557279,16445.22432443
-18498.8976132985,-18564.494325584
1760.52458992005,1701.00690335064
4575.41954753497,4508.48638119788
6422.93358202639,6340.26841153593
9626.50584302104,9483.99949786263
11668.3141488585,11375.4856684252
14090.163174254,13518.0166744296
15570.4940989188,14790.2520102874
16546.1958873485,15719.3395106648
17410.1791552588,16563.698109108
-27036.5851885845,-27052.0873164804
-1124.00591146958,-351.995095213409
3711.10941523733,3612.3776945962
6518.08941211834,6404.30000006299
8825.09574194308,8675.10313334763
9804.8416978808,9659.03038229289
12467.9594225145,12227.8003148635
13648.2431864358,13269.7493048177
16299.8746256384,15591.0950789956
18174.1457571232,17485.2132126645
-43741.8672702557,-43747.2878896466
-12620.3072601949,-12758.1680381064
2311.55038598361,2226.20786746594
4778.31588936541,4653.37518708102
6342.99978611567,6202.07979308771
8486.93615512516,8316.23382229902
10915.277250101,10655.1470106091
12005.9954911405,11750.5812614172
13862.6020763103,13543.9019016613
15483.2382265917,15076.7721225154
