"Val2","Val3"
1129.33141319525,1128.97333438485
2112.69467779873,2111.91430776464
2728.46115607462,2727.40841111235
3134.1325157786,3132.86508834028
3522.78923905956,3521.25870910464
3784.40590343328,3782.63242790857
3722.46644276034,3720.47679713571
3948.92087200842,3946.7244047959
3898.09830667533,3895.80066904776
4090.67206260461,4088.19524485157
820.290821712524,820.009865188175
1647.92238518841,1647.17442617801
2331.91651524908,2330.82150304446
2803.95185608153,2802.40314756776
3052.33585567888,3050.54259777019
3333.27202636386,3331.21409025541
3546.89074907505,3544.0782293226
3654.87945028195,3652.40133027624
3716.01940831481,3713.32939459524
3848.55625730168,3845.1996542299
709.624144282646,709.387626407513
1285.4077455467,1284.844213142
1836.16775544685,1835.23360746011
2316.22533181593,2314.92787427179
2603.36456105363,2601.70324286288
2947.82199567127,2945.90041001552
3007.90853273891,3005.5930764091
3144.49919973876,3141.49260935246
3420.34098388385,3417.64923411018
3532.78680613249,3528.69417433962
622.24993380823,622.064743928122
906.06988073844,905.68247705916
1381.65224893945,1380.94349589815
1661.01738228582,1660.07354266684
2162.47688386866,2161.14014306498
2439.64567794135,2437.94397128671
2719.36892709011,2717.33324019987
2853.95607746606,2851.41530846674
2963.52222367413,2960.89266086155
3113.44408349641,3110.47055731528
537.940116731812,537.784431416642
648.350016208411,648.157518901848
1087.31646172562,1086.90426548667
1404.25167311051,1403.49942615807
1699.12882565985,1698.16181749835
1819.36646681112,1818.15676729839
2111.44320669546,2109.5718453486
2263.84580789324,2262.09416458289
2502.27034244129,2499.94813343064
2717.47967545542,2714.32831537234
426.466728973829,426.328197678965
395.496273503848,395.405333179169
702.286560891262,702.080619720103
1006.973474471,1006.57096124256
1179.49363087161,1178.89106232094
1415.79205420451,1414.97712181537
1665.62369545063,1664.36550493398
1780.15339002446,1778.94191729139
1947.32395207071,1945.58270467811
2024.05991253446,2021.14152197387
