"Val2","Val3"
670.305485404575,467.325920056329
3680.15223405283,3313.15243707188
5755.04973378537,5366.93208081902
7430.78941852859,6998.04519014935
9062.73929002784,8657.97627515444
9988.30101999892,9650.40802183921
10018.0295264704,9660.70006100878
11225.1766101253,10897.6235742218
11081.2015526482,10804.8656164578
11971.740578234,11689.4707907417
-6423.9502561385,-6972.54729095628
3430.45262324241,3018.43972602217
6266.05435914781,5748.5519667832
8502.46702182945,7949.15684876857
9832.50767074136,9402.98036671466
11363.2304420221,10916.1582622551
12843.3815938753,12463.2711226264
13345.7929220057,12931.7427966104
13980.0000893589,13622.96958587
14534.5526911891,14191.0898862655
-12146.5692947779,-12733.6594247532
2859.56127335695,2433.12573361866
5627.14110626665,5119.63342129284
8524.49880594615,7879.63340054212
10300.7120398448,9759.82453863655
12430.7088386228,11930.564753483
13171.1869757435,12691.4849091382
14189.923499282,13761.7151105605
15794.34846085,15397.3157226899
17066.020752466,16687.1365492135
-18209.9034909892,-18826.8338842404
1941.9464528369,1531.55857252163
4802.25520134368,4295.01634636888
6663.50037922554,6121.82727028439
9867.09502825803,9248.56289317944
11839.2973139145,11227.1065634234
14123.1136404787,13590.7126598144
15425.7128334318,14926.5174086767
16352.7576318075,15901.0009685301
17187.080645523,16765.4546857029
-26721.2505183392,-27344.4097674776
-624.190461700308,-1008.50135303141
3934.9708878667,3398.41118127353
6806.16499458181,6129.71317152778
9080.73991361556,8418.04837343426
10043.4992027108,9427.65533549155
12648.6923571373,12071.3309648256
13713.3602877253,13208.1628637472
16173.2477349237,15762.5553904944
18094.5065894721,17598.6439942316
-43281.5251576145,-44174.5172872188
-11806.1827020143,-13468.6243688952
2566.33560543793,1996.99460851655
5045.48852029086,4408.07667064452
6543.48314681521,5999.94824307851
8679.50255748978,8139.42723280534
11102.3130312654,10493.5496413635
12099.4485420074,11670.5514728855
13940.7461158249,13477.691814307
15539.4452546282,15073.5775793579
