"Val2","Val3"
537.099098613102,590.458483426586
3411.21566773185,3563.35871058993
5437.92243359578,5670.11835019936
7060.22635161794,7347.36704050048
8677.68275919368,9040.1915898417
9625.98578283793,10005.4639842031
9633.2244577497,10026.8457898987
10836.6758229346,11289.0917087272
10702.9644653298,11178.4797950155
11579.1402031476,12075.087459719
-6767.42662655016,-6652.62694551019
3132.15952075485,3292.39220933382
5892.6853880482,6097.37360552273
8085.65233528732,8333.74269510843
9454.9490013179,9763.01175206286
10932.9306631524,11335.7614408189
12401.6700143162,12905.7348549401
12878.0961056445,13408.2113587787
13498.7418925102,14087.9311499239
14051.9546940875,14643.244144887
-12503.5899024729,-12402.9175544756
2561.2749889659,2707.87194218434
5248.65123588411,5478.39132306317
8046.27257571124,8325.78603710157
9860.59397346416,10176.0226866175
11972.0103872033,12365.8611858091
12692.4933307019,13136.9816779296
13711.193476528,14234.6253829213
15292.7547831701,15898.6254011103
16509.5200007473,17216.6709109598
-18566.7123682195,-18495.6417541516
1659.5344880007,1791.78383762251
4429.73575358307,4645.0361866212
6240.11352854193,6517.02807356182
9370.98832981022,9726.7719282976
11311.6597147833,11726.7476506224
13599.7252379731,14079.535793212
14904.0697127489,15433.7971316114
15816.21147697,16397.7722984695
16645.1014225438,17269.5347930128
-27081.9306290342,-27011.2937956163
-496.317703527387,-1025.00110375125
3572.08446828461,3741.59032527988
6323.10463133881,6582.73473656355
8577.34407493806,8911.9969713399
9512.48853624455,9941.43035095477
12080.2175824779,12612.8226483119
13190.6378487272,13711.78465057
15646.0722375889,16245.1204636108
17490.4981864723,18162.1232785366
-43804.3477433368,-43688.154291698
-12940.6449895377,-12428.2941761251
2181.26817588086,2352.16096421737
4602.30372685755,4823.77029501481
6113.26144103078,6420.26194152885
8207.55574590405,8572.15502605034
10527.9226854368,11035.8681288269
11607.0889657481,12150.8168041929
13391.1273645899,14003.2598815335
14973.0738969956,15600.4148688173
