"Val2","Val3"
977.879400581973,150.491173608526
3854.54853472528,3104.198818441
5796.29730374969,5304.61500418012
7434.69899987938,6957.81654787568
8938.30863997459,8702.98476769944
9847.91845727393,9699.49571208635
9839.92319391835,9767.3234483168
10935.2530054158,11076.689278228
10921.928398162,10883.9686014131
11659.9756900861,11871.7327313612
-5493.65105964073,-7952.71583337034
3684.20406510104,2736.83246988966
6377.62380458419,5582.29431389301
8553.39612131147,7845.25839523861
9763.98305956696,9357.32484593294
11273.0551721435,10989.5775958075
12739.294502166,12499.0530863255
13173.6632418761,13045.1851474863
13807.7360869557,13701.9068210078
14291.5901893766,14321.639359632
-10985.1298719117,-13930.673857438
3184.77460039673,2080.15453630685
5885.7988504099,4835.61024841391
8644.68595637929,7707.97194837114
10337.1750819721,9617.30351180366
12351.7711956868,11935.0703204926
13037.2950559184,12756.4783046518
14037.6814976007,13832.1312603146
15629.8690102587,15528.189999638
16794.0230458001,16841.9745098832
-16835.9682180062,-20241.2585288483
2329.96851864361,1123.20505159485
5119.95905450663,3954.78680775066
6942.07289363039,5808.98703243804
10053.8390167568,9026.15994920633
11894.8461411331,11089.6687836707
13964.1389171875,13541.774281403
15199.9550491314,15072.0559188341
16142.6177858167,16052.0839584289
16990.182962548,16938.4810282773
-27547.259553477,-29064.3178506547
1386.90270661147,-3045.27932409655
4297.82011355831,3013.03520970488
7065.274870965,5834.70993307707
9314.81119297044,8152.02351817451
10295.0680574102,9141.3858779494
12790.6541599412,11825.6445747707
13797.6304696738,13050.1633061679
16015.9931647021,15749.2498997836
17898.0068649329,17683.6122135705
-40174.3311493179,-40638.7969843812
-9324.21608093715,-16133.5437355129
3001.89263295433,1520.85300949484
5409.31195637751,4003.17892864469
6942.70918218679,5585.16609536686
9023.61077670119,7739.37637166543
11282.0314475613,10213.3991335997
12386.6129402668,11290.2316877756
14117.2300871413,13218.7850048793
15536.7673817746,14911.4192779364
